question,ans0,ans1,ans2
初めてデートに行くなら？,まずは食事,いきなりドライブ,安定の水族館
3か月後に海外旅行をするならどの国に行きたい？,アメリカ,イタリア,韓国
春夏秋冬のうち、なくなってもいいものを選ぶとしたらどれ？,春,夏,冬
1つだけ願いが叶うとしたら何を願う？,永遠の若さ,超パワー,世界平和
無人島に1つだけ持っていけるとしたら何を持っていく？,ブランケット,お米,石鹸
生まれ変わるならどれになりたい？,渡り鳥,イルカ,ライオン
1つだけ手に入れるとしたらどれがいい？,天才的な頭脳,一人からの永遠の愛,何でも買えるぞ3億円
1つだけもらえるとしたらどれがいい？,どこにでも行けるドア,全てを記録できる脳,自分の複製
今、どんな旅行がしたい？,動き回るアクティブ旅,ゆったりリラックス旅,グルメ旅
タイムスリップできるなら何がしたい？,過去の自分にアドバイス,未来の世界を見に行く,何もしない
昔話の主人公になるなら誰になる？,桃太郎,浦島太郎,一寸法師
3回目のデートに行くなら？,ゆったりピクニック,1日ショッピングモール,アクティブに遊園地
この3人でチームを組むなら何をする？,アイドルをプロデュース,服飾ブランドの立ち上げ,靴磨き専門店の経営
生まれ変わるならどれになりたい？,犬,サル,キジ
1つだけ夢がかなうなら何をしたい？,豪邸での生活,宇宙へ旅行,会いたい1人と会える
生まれ変わるならどれになりたい？,牛,羊,鳥
生まれ変わるなら誰になりたい？,新垣結衣,木村拓哉,霜降り明星せいや
キャンプをするならどこ？,海,山,川
名古屋に行ったら絶対に食べたいものは？,味噌カツ,手羽先,ひつまぶし
今ここでハーゲンダッツを1つだけ食べれるとしたら何を選ぶ？,バニラ,抹茶,マカダミアナッツ
生まれ変わるなら誰になりたい？,スティーブ・ジョブズ,ビヨンセ,ジョニー・デップ
もし住むなら？,お菓子の家,木の上の秘密基地,海の中の要塞
もしかなうとしたら？,知能アップ,体力アップ,人脈アップ
一番行ってみたい場所は？,月,未知の海底,サイバー空間
もし100万円落ちてたら？,こっそりもらう,交番に届ける,素通り
何歳まで生きたい？,50歳,100歳,200歳
結婚するならどこを重視？,顔,金,性格
好きなものほどいつ食べる？,最初,ちょこちょこ,最後
これさえあれば生きていけるものとは？,愛,金,名誉
焼肉に行ったら何食べたい？,クッパ,カルビ,ホルモン
